ENSTGUG00000000230, ENSTGUT00000000237
ENSTGUG00000000476, ENSTGUT00000000547
ENSTGUG00000000531, ENSTGUT00000000549
ENSTGUG00000000533, ENSTGUT00000000555
ENSTGUG00000000607, ENSTGUT00000000627
ENSTGUG00000001132, ENSTGUT00000001177
ENSTGUG00000001142, ENSTGUT00000001219
ENSTGUG00000001247, ENSTGUT00000001306
ENSTGUG00000001798, ENSTGUT00000001894
ENSTGUG00000002023, ENSTGUT00000002111
ENSTGUG00000002341, ENSTGUT00000002431
ENSTGUG00000002366, ENSTGUT00000002473
ENSTGUG00000002533, ENSTGUT00000002631
ENSTGUG00000002536, ENSTGUT00000002680
ENSTGUG00000002855, ENSTGUT00000003176
ENSTGUG00000003212, ENSTGUT00000003337
ENSTGUG00000003215, ENSTGUT00000003344
ENSTGUG00000003230, ENSTGUT00000003409
ENSTGUG00000003307, ENSTGUT00000003512
ENSTGUG00000003637, ENSTGUT00000003822
ENSTGUG00000003830, ENSTGUT00000003994
ENSTGUG00000004091, ENSTGUT00000004299
ENSTGUG00000004211, ENSTGUT00000004414
ENSTGUG00000004233, ENSTGUT00000004396
ENSTGUG00000004375, ENSTGUT00000004552
ENSTGUG00000004385, ENSTGUT00000004564
ENSTGUG00000004397, ENSTGUT00000004568
ENSTGUG00000004508, ENSTGUT00000004693
ENSTGUG00000004532, ENSTGUT00000004744
ENSTGUG00000004669, ENSTGUT00000004874
ENSTGUG00000004696, ENSTGUT00000004895
ENSTGUG00000004703, ENSTGUT00000004887
ENSTGUG00000004711, ENSTGUT00000004890
ENSTGUG00000004714, ENSTGUT00000004891
ENSTGUG00000004828, ENSTGUT00000005149
ENSTGUG00000004925, ENSTGUT00000005116
ENSTGUG00000005324, ENSTGUT00000005596
ENSTGUG00000005328, ENSTGUT00000005549
ENSTGUG00000005385, ENSTGUT00000005659
ENSTGUG00000005392, ENSTGUT00000005606
ENSTGUG00000005934, ENSTGUT00000006169
ENSTGUG00000005936, ENSTGUT00000006188
ENSTGUG00000006024, ENSTGUT00000006289
ENSTGUG00000006157, ENSTGUT00000006413
ENSTGUG00000006161, ENSTGUT00000006432
ENSTGUG00000006208, ENSTGUT00000006437
ENSTGUG00000006223, ENSTGUT00000006449
ENSTGUG00000006226, ENSTGUT00000006454
ENSTGUG00000006230, ENSTGUT00000006459
ENSTGUG00000006753, ENSTGUT00000007025
ENSTGUG00000006839, ENSTGUT00000007195
ENSTGUG00000006881, ENSTGUT00000007286
ENSTGUG00000006966, ENSTGUT00000007280
ENSTGUG00000006968, ENSTGUT00000007249
