SCN1A	ENSTGUG00000007356	ENSGALG00000010943
SCN2A	ENSTGUG00000007152	ENSGALG00000011009
SCN3A	ENSTGUG00000007034	ENSGALG00000011040
SCN4A	ENSTGUG00000003230	ENSGALG00000034427
SCN5A	"ENSTGUG00000000531, ENSTGUG00000000533"	ENSGALG00000006112
SCN8A	ENSTGUG00000003307	ENSGALG00000043728
SCN9A	ENSTGUG00000007470	ENSGALG00000027793
SCN10A	ENSTGUG00000000476	ENSGALG00000006072
SCN11A	no model	ENSGALG00000027702
SCN1B	no model	ENSGALG00000034895
SCN2B	ENSTGUG00000017358	ENSGALG00000021272
SCN3B	ENSTGUG00000000607	ENSGALG00000006490
SCN4B	ENSTGUG00000000230	ENSGALG00000007409
ASIC1	ENSTGUG00000003637	ENSGALG00000034025
ASIC2	"ENSTGUG00000003212, ENSTGUG00000003215"	"ENSGALG00000000367, ENSGALG00000019824"
ASIC3	ENSTGUG00000016020	ENSGALG00000041524
ASIC4	ENSTGUG00000006157	ENSGALG00000011250
ASIC5	ENSTGUG00000005392	ENSGALG00000009366
NALCN	ENSTGUG00000010876	ENSGALG00000016868
CACNA1S	ENSTGUG00000001142	ENSGALG00000037744
CACNA1C	"ENSTGUG00000012529, ENSTGUG00000012538"	ENSGALG00000013022
CACNA1D	ENSTGUG00000006839	ENSGALG00000005332
CACNA1F	no model	"XM_015273796.1 Gene ID: 429167"
CACNA1A	no model	"XM_015273632.1 Gene ID: 107049833"
CACNA1B	ENSTGUG00000002855	ENSGALG00000008456
CACNA1E	ENSTGUG00000017352	ENSGALG00000003833
CACNA1G	ENSTGUG00000009049	ENSGALG00000007623
CACNA1H	ENSTGUG00000006881	ENSGALG00000005215
CACNA1I	ENSTGUG00000010198	ENSGALG00000035051
CACNA2D1	"ENSTGUG00000002536, ENSTGUG00000002533"	ENSGALG00000008486
CACNA2D2	"ENSTGUG00000004703, ENSTGUG00000004711, ENSTGUG00000004714"	ENSGALG00000038242
CACNA2D3	ENSTGUG00000006966	ENSGALG00000005400
CACNA2D4	ENSTGUG00000012579	ENSGALG00000013007
CACNB1	no model	ENSGALG00000025788
CACNB2	ENSTGUG00000001247	ENSGALG00000008591
CACNB3	ENSTGUG00000015546	"PacBio Scaffold 483 Gene ID: 107050029 (misannotated)"
CACNB4	ENSTGUG00000012082	ENSGALG00000035466
CACNG1	ENSTGUG00000004397	ENSGALG00000027771
CACNG2	ENSTGUG00000010725	ENSGALG00000031977
CACNG3	ENSTGUG00000006208	ENSGALG00000038087
CACNG4	ENSTGUG00000004385	ENSGALG00000026091
CACNG5	ENSTGUG00000004375	ENSGALG00000003911
CACNG7	no model	"XM_015274347.1 PacBio Scaffold 68 Gene ID: 107050634"
CACNG8	no model	"XM_015274570 PacBio Scaffold 68 Gene ID: 107050872"
ITPR1	ENSTGUG00000010241	ENSGALG00000008294
ITPR2	ENSTGUG00000012196	"ENSGALG00000014071, ENSGALG00000043301"
ITPR3	ENSTGUG00000001798	ENSGALG00000003149
RYR1	ENSTGUG00000016333	"ENSGALG00000029845, ENSGALG00000040062, ENSGALG00000044468"
RYR2	ENSTGUG00000010491	ENSGALG00000010812
RYR3	ENSTGUG00000011653	ENSGALG00000009705
TPCN1	ENSTGUG00000009086	ENSGALG00000008357
TPCN2	ENSTGUG00000005328	ENSGALG00000007550
TPCN3	"ENSTGUG00000007338, ENSTGUG00000015038"	ENSGALG00000008198
CLCN1	ENSTGUG00000013222	ENSGALG00000014695
CLCN2	ENSTGUG00000010323	ENSGALG00000025804
CLCN3	ENSTGUG00000006161	ENSGALG00000009674
CLCN4	ENSTGUG00000008365	ENSGALG00000016607
CLCN5	ENSTGUG00000005324	ENSGALG00000007234
CLCN6	ENSTGUG00000002366	ENSGALG00000004590
CLCN7	ENSTGUG00000004211	ENSGALG00000030826
CLCNKA	ENSTGUG00000002023	ENSGALG00000003713
CLIC2	ENSTGUG00000004925	ENSGALG00000029502
CLIC3	ENSTGUG00000002341	ENSGALG00000038789
CLIC4	ENSTGUG00000001132	ENSGALG00000001262
CLIC5	ENSTGUG00000013246	ENSGALG00000016707
CLIC6	ENSTGUG00000004696	ENSGALG00000016020
CLCC1	ENSTGUG00000004508	ENSGALG00000002106
ANO1	ENSTGUG00000005385	ENSGALG00000041808
ANO2	ENSTGUG00000011938	ENSGALG00000017271
ANO3	ENSTGUG00000004669	ENSGALG00000013311
ANO4	ENSTGUG00000009008	ENSGALG00000011614
ANO5	ENSTGUG00000004532	ENSGALG00000003748
ANO6	ENSTGUG00000006024	ENSGALG00000009638
ANO7	no model	NC_006096 (5112925-5114497)
ANO8	ENSTGUG00000015909	"ENSGALG00000034615, ENSGALG00000036840"
ANO9	ENSTGUG00000006753	ENSGALG00000004280
ANO10	ENSTGUG00000003830	ENSGALG00000042371
BEST1	ENSTGUG00000005934	ENSGALG00000007217
BEST3	ENSTGUG00000006968	ENSGALG00000010029
BEST4	no model	ENSGALG00000043605
CFTR	ENSTGUG00000004828	ENSGALG00000032986
CLNS1A	ENSTGUG00000013030	ENSGALG00000008574
SCNN1A	ENSTGUG00000013342	ENSGALG00000040424
SCNN1B	ENSTGUG00000005936	ENSGALG00000006202
SCNN1D	ENSTGUG00000004091	ENSGALG00000001835
SCNN1G	no model	ENSGALG00000006270
